Quality_Category,density,pH,sulphates,alcohol
Low,0.992,3,0.39,10.8
High,1,3,0.47,8.8
Low,0.991,3,0.47,11.5
High,0.993,3,0.54,10.8
Low,0.999,3,0.54,9.4
High,0.993,3,0.95,9.5
Low,0.998,3,0.49,8.6
High,0.993,3,0.95,9.5
High,0.995,3,0.77,10.3
Low,0.999,3,0.54,9.4
Low,0.999,3,0.52,9.4
High,0.997,3,0.54,10
Low,0.995,3,0.47,9.4
High,0.993,3,0.63,10.4
High,1,3,0.75,9.1
Low,0.994,3,0.61,9.9
Low,0.99,3,0.5,12.1
Low,0.994,3,0.61,9.9
Low,0.989,3,0.3,12.5
High,0.993,3,0.95,9.5
High,1,3,0.76,8.5
High,0.999,3,0.82,9
Low,0.993,3,0.7,10.1
Low,0.996,3,0.48,9.4
Low,0.998,3,0.49,8.6
Low,0.992,3,0.34,10.7
Low,0.994,3,0.28,9.6
Low,0.993,3,0.39,10.1
High,0.993,3,0.57,10
High,0.99,3,0.36,12.7
Low,0.992,3,0.38,10.2
Low,0.993,3,0.37,8.9
High,0.992,3,0.82,11.9
High,0.993,3,0.57,10
Low,0.995,3,0.48,9.9
Low,0.993,3,0.55,11.5
Low,0.993,3,0.55,11.5
Low,0.998,3,0.52,9.8
High,0.991,3,0.67,12.2
Low,0.992,3,0.51,11.4
High,0.992,3,0.68,11
Low,0.992,3,0.51,11.4
High,0.992,3,0.68,11
Low,0.994,3,0.63,9.9
High,0.991,3,0.4,11
Low,0.993,4,0.48,9.4
High,0.99,3,0.36,12.2
High,0.991,3,0.4,11
Low,0.992,3,0.53,10.3
Low,0.995,3,0.53,10.5
Low,0.992,3,0.46,10.5
Low,0.992,3,0.49,10.9
Low,0.995,3,0.53,10.5
High,0.995,3,0.56,11
Low,0.998,3,0.37,9.7
Low,0.998,3,0.4,8.9
Low,0.995,3,0.39,9.6
High,0.994,3,0.47,8.8
Low,0.994,3,0.65,11.1
Low,0.994,3,0.61,10.3
High,0.991,3,0.43,12.2
Low,0.998,3,0.47,9.8
Low,0.999,3,0.53,8.8
Low,0.994,3,0.63,9.9
Low,0.994,3,0.63,9.9
Low,0.994,3,0.63,9.9
Low,0.992,3,0.35,9.2
Low,0.995,3,0.37,9.5
Low,0.992,3,0.35,9.2
High,0.995,3,0.56,10.3
Low,0.992,3,0.33,11
Low,0.99,3,0.39,11.9
High,0.992,3,0.32,10.2
High,0.996,4,0.44,9.4
Low,0.998,3,0.44,8.9
Low,0.998,3,0.44,8.9
Low,0.997,3,0.43,10
High,0.993,3,0.49,10.7
Low,0.994,3,0.43,9.8
Low,0.993,3,0.38,9.3
High,0.993,3,0.48,9.5
Low,0.998,4,0.47,10
Low,0.998,3,0.51,9
High,0.993,3,0.4,11.9
Low,0.997,3,0.38,8.9
Low,0.997,3,0.41,10
Low,0.995,3,0.41,9.6
Low,0.997,3,0.38,8.9
Low,0.995,3,0.4,8.9
Low,0.992,3,0.41,11.4
Low,0.998,3,0.51,9
Low,0.996,3,0.55,10
High,0.998,3,0.47,9.6
Low,0.995,3,0.6,9.7
Low,0.997,3,0.53,9.5
High,0.993,4,0.41,10
High,0.99,3,0.38,12.2
High,0.997,3,0.44,8.7
High,0.995,4,0.44,10.2
Low,1,3,0.43,9.6
Low,0.994,3,0.36,10
Low,0.996,3,0.52,9.5
Low,0.994,3,0.46,11.5
Low,0.994,3,0.38,9.5
Low,0.997,3,0.49,9.8
Low,0.993,3,0.55,10.1
Low,0.993,3,0.36,10
Low,0.997,3,0.49,9.8
Low,0.994,3,0.38,9.5
Low,0.994,3,0.38,9.5
High,0.993,3,0.54,10.2
High,0.993,3,0.54,10.2
Low,0.998,3,0.42,9
Low,0.998,3,0.42,9
High,0.992,3,0.57,12.3
Low,0.998,3,0.42,9
Low,0.992,3,0.51,11.6
Low,0.997,3,0.43,9.5
Low,0.993,3,0.36,11.5
Low,0.993,3,0.37,9.6
Low,0.999,3,0.42,9
High,0.991,3,0.7,12
High,0.991,3,0.51,11.4
High,0.989,3,0.36,12.3
High,0.99,3,0.47,12.6
Low,0.999,3,0.42,9
High,0.991,3,0.7,12
Low,0.993,3,0.9,11.7
Low,0.996,3,0.49,9.2
Low,0.995,4,0.45,10.3
Low,0.997,3,0.49,8.6
High,0.995,3,0.62,10.7
Low,0.993,3,0.47,9.8
Low,0.993,3,0.46,9.8
High,0.995,3,0.62,10.7
Low,0.989,4,0.45,12.5
Low,0.991,3,0.45,11.9
Low,0.993,3,0.52,10.8
Low,0.993,3,0.52,10.5
Low,0.994,3,0.48,10.3
Low,0.994,3,0.45,10.3
Low,0.993,3,0.52,10.8
High,0.994,3,0.38,12
Low,0.993,3,0.39,10.2
Low,0.994,3,0.62,10.2
Low,0.997,3,0.39,9.9
Low,0.994,3,0.47,10.1
Low,0.996,3,0.55,9.5
Low,0.993,3,0.45,10.5
Low,0.992,3,0.63,10.4
Low,0.997,3,0.47,9.5
Low,1,3,0.5,9.2
High,0.994,3,0.54,10.1
High,0.994,3,0.45,9.8
Low,0.995,3,0.46,9.4
Low,0.995,3,0.45,9.4
High,0.993,3,0.48,10.4
Low,0.991,3,0.55,11.3
Low,0.993,3,0.64,10.8
Low,0.991,3,0.55,11.3
Low,0.993,3,0.43,9.3
High,0.993,3,0.55,10.3
Low,0.993,3,0.39,10.5
Low,0.993,3,0.75,10.3
High,0.993,3,0.66,11.2
Low,0.994,3,0.41,10.3
Low,0.997,3,0.5,9.5
Low,0.999,4,0.43,8.9
Low,0.993,3,0.29,10.2
Low,0.997,3,0.88,9.2
Low,0.993,3,0.75,10.3
Low,0.992,3,0.31,10.5
Low,0.995,3,0.62,9.5
High,0.993,3,0.49,11.4
High,0.993,3,0.49,11.4
High,0.994,3,0.37,11.1
Low,0.996,3,0.38,10.5
Low,0.993,4,0.7,12
Low,0.993,3,0.51,9.7
Low,0.993,3,0.51,10.2
Low,0.996,3,0.3,9.5
High,0.994,3,0.59,10.4
Low,0.997,3,0.57,9.3
Low,0.995,3,0.62,10.5
Low,0.996,3,0.62,10
Low,0.997,3,0.64,10.2
Low,0.997,3,0.64,10.2
Low,0.998,3,0.74,9.1
Low,0.994,3,0.67,10.2
Low,0.994,4,0.88,10.7
Low,0.996,3,0.56,9.7
High,0.995,3,0.52,9.3
Low,0.992,3,0.74,11
Low,0.995,3,0.71,10.8
Low,0.992,3,0.56,10.7
Low,0.995,3,0.45,10.7
Low,1.001,3,0.4,8.8
High,0.992,3,0.48,10.9
Low,0.993,3,0.45,10.5
Low,0.994,3,0.45,10
Low,0.992,3,0.43,10.4
Low,0.993,3,0.43,9.2
Low,0.991,3,0.62,12.6
Low,0.996,3,0.54,9
Low,0.993,3,0.39,9.2
Low,0.991,3,0.39,11.3
Low,0.996,3,0.69,10.3
Low,0.992,3,0.43,10.4
Low,0.994,3,0.44,10
Low,0.993,4,0.47,10.7
Low,0.998,3,0.47,9
Low,0.993,4,0.47,10.7
Low,0.994,3,0.54,8.7
High,0.992,3,0.72,11.6
Low,0.997,3,0.55,9.4
Low,0.996,3,0.68,9.5
Low,0.996,3,0.67,9.5
Low,0.995,3,0.7,10.9
Low,1,3,0.5,9.7
Low,0.994,3,0.45,9.1
High,0.992,3,0.49,11.1
High,0.992,3,0.4,12.6
Low,0.993,3,0.56,11
High,0.992,3,0.55,11.3
Low,1,3,0.5,9.7
High,0.995,3,0.4,10.9
Low,0.995,3,0.47,10.9
Low,0.997,3,0.5,9.3
High,0.99,3,0.54,12.7
Low,0.997,3,0.59,10.1
Low,0.994,3,0.65,10
Low,1,3,0.42,9.8
Low,0.995,3,0.53,10.1
High,0.996,3,0.39,9
Low,0.995,3,0.38,9.4
Low,0.995,3,0.38,9.4
Low,1,3,0.42,9.2
High,0.994,3,0.33,10.1
Low,0.998,3,0.45,8.6
High,0.992,4,0.49,11.2
High,0.992,3,0.42,11.2
Low,1,3,0.42,9.2
High,0.993,3,0.39,10.6
Low,1.001,3,0.51,9.3
Low,0.998,3,0.47,8.9
Low,0.993,3,0.43,10.6
High,0.995,3,0.32,10.6
Low,0.996,3,0.32,8.8
High,0.991,4,0.38,11
Low,0.996,3,0.37,10.2
High,0.994,3,0.33,10.1
Low,0.996,3,0.34,10.1
High,0.989,3,0.79,14
Low,0.995,3,0.38,9.4
Low,0.991,3,0.43,11.8
Low,0.991,3,0.53,11.4
Low,0.994,3,0.42,10.7
Low,0.998,3,0.45,8.6
High,0.992,4,0.49,11.5
High,0.992,4,0.49,11.2
High,0.99,3,0.59,12.6
High,0.989,3,0.51,12.6
Low,0.995,3,0.46,9.3
High,0.99,3,0.59,12.6
Low,0.991,3,0.61,12.1
Low,0.998,4,0.44,9.9
Low,0.994,3,0.44,10.7
Low,0.993,3,0.32,10
High,0.993,3,0.39,10.4
Low,0.992,3,0.52,10.5
Low,0.998,3,0.64,9.7
Low,0.992,3,0.52,10.5
Low,0.997,3,0.33,9
Low,0.998,4,0.45,9.2
Low,0.993,3,0.48,10.1
High,0.991,3,0.4,11.4
Low,0.994,3,0.46,10.8
Low,0.994,3,0.49,10.9
Low,0.997,3,0.46,9.2
High,0.989,3,0.25,12.9
High,0.992,3,0.32,12
Low,0.993,3,0.46,9.5
High,0.992,3,0.32,11.8
Low,0.994,3,0.43,9.1
Low,0.994,3,0.52,9.7
Low,0.999,3,0.54,9.1
Low,0.994,3,0.43,10
Low,0.995,3,0.42,10.4
Low,0.999,3,0.47,9.5
High,0.991,3,0.4,12.3
High,0.993,3,0.4,11.7
Low,0.996,3,0.58,9.5
Low,0.994,3,0.34,11.5
Low,0.992,3,0.46,10.6
Low,0.998,3,0.61,10.2
Low,0.996,3,0.58,9.5
Low,0.993,3,0.45,10.5
Low,0.993,3,0.44,10.5
Low,0.996,3,0.41,8.9
Low,0.994,3,0.41,10.6
Low,0.995,3,0.49,9.5
Low,0.994,3,0.49,10.8
Low,0.995,3,0.35,9.5
Low,0.996,3,0.4,8.9
Low,0.996,3,0.41,8.9
Low,0.994,3,0.38,9.4
Low,0.992,4,0.35,10.6
Low,0.997,3,0.44,9
Low,0.994,3,0.48,10.5
Low,1,3,0.38,9
Low,1,3,0.38,9
Low,0.994,3,0.38,9.4
Low,1,3,0.38,9
Low,0.995,3,0.8,9.6
Low,1,3,0.38,9
High,0.995,3,0.6,10.2
Low,0.994,3,0.38,9.4
Low,0.993,3,0.38,10.4
Low,0.995,4,0.41,10.4
Low,0.993,3,0.32,9.5
Low,0.994,3,0.62,10.6
Low,0.992,3,0.37,11
Low,0.995,3,0.8,9.6
Low,0.997,3,0.5,9.9
Low,0.995,3,0.34,9.6
Low,0.991,3,0.7,12.8
Low,0.993,3,0.55,11.4
Low,0.999,3,0.5,10
Low,0.997,3,0.44,9.1
High,0.998,3,0.5,9.4
Low,0.995,3,0.54,10.2
Low,0.996,3,0.39,9.2
Low,0.995,3,0.36,9.4
Low,0.995,3,0.34,9.6
Low,0.996,3,0.36,10.1
Low,0.993,3,0.55,11.4
Low,0.992,3,0.47,10.6
High,0.991,3,0.44,12.8
Low,0.998,3,0.51,8.9
Low,0.994,3,0.43,9.3
High,0.991,3,0.4,11.1
Low,0.993,3,0.33,9.9
Low,0.994,3,0.45,9.6
Low,0.991,3,0.7,12.8
High,0.995,3,0.72,10.7
Low,0.998,3,0.42,9.2
High,1,3,0.41,9.1
Low,0.996,3,0.6,9.6
Low,0.999,3,0.46,9.2
High,0.995,3,0.72,10.7
High,1,3,0.41,9.1
Low,0.998,3,0.42,9.2
High,0.994,3,0.48,10.7
Low,0.992,3,0.45,10.8
High,0.992,3,0.46,10.8
Low,0.996,3,0.37,9
Low,0.992,3,0.44,10.7
Low,0.992,3,0.44,10.7
Low,0.995,3,0.46,9.4
Low,0.999,3,0.35,8.8
Low,0.996,3,0.37,9
Low,0.992,3,0.49,11.5
Low,0.991,3,0.47,12.5
Low,0.992,3,0.25,10.5
Low,0.996,3,0.3,9.7
Low,0.993,3,0.52,11.3
Low,0.992,3,0.44,10.7
Low,0.993,3,0.47,10.8
Low,0.996,3,0.43,10.6
High,0.991,3,0.32,11.7
Low,0.999,3,0.48,9.2
High,0.993,3,0.34,11.1
High,0.991,3,0.32,11.7
Low,0.992,3,0.44,11
High,0.992,4,0.58,12.5
Low,0.994,3,0.67,10
Low,0.996,3,0.43,10.6
High,0.991,3,0.54,12.3
Low,0.99,3,0.53,12.7
High,0.991,3,0.54,12.3
Low,0.994,3,0.42,10.5
Low,0.992,3,0.28,12.5
Low,0.991,3,0.32,12.4
Low,0.999,3,0.41,8.7
High,0.992,3,0.54,12.4
High,0.992,3,0.54,12.6
Low,0.994,3,0.44,11
Low,0.994,3,0.5,10.1
Low,0.993,3,0.48,10.5
Low,0.99,3,0.53,12.7
Low,0.993,3,0.51,10.9
High,0.99,3,0.43,13.5
Low,0.998,3,0.59,9.7
Low,0.995,3,0.43,9.2
High,0.994,3,0.41,10.6
High,0.992,3,0.39,13.3
High,0.99,3,0.43,13.5
Low,0.994,3,0.32,10.1
Low,1,3,0.68,9.4
High,0.995,3,0.4,10.6
Low,0.992,3,0.4,11.3
High,0.993,3,0.4,10.8
Low,0.998,3,0.51,10.4
High,0.995,4,0.51,10.5
Low,0.993,3,0.42,9.3
Low,0.993,3,0.42,9.3
High,0.991,3,0.39,12.2
Low,0.994,3,0.3,9.2
Low,0.996,4,0.57,10.3
Low,0.995,3,0.62,9.4
Low,0.995,3,0.35,10.2
Low,0.996,3,0.39,9
Low,0.995,3,0.36,9.3
Low,0.995,3,0.34,9.2
Low,0.995,3,0.64,9.4
Low,0.995,3,0.62,9.4
Low,0.994,3,0.46,9.5
Low,0.994,3,0.39,9.9
High,0.996,3,0.62,11.1
High,0.991,3,0.41,12.3
High,1,3,0.69,8.6
Low,0.997,3,0.35,9.4
Low,0.999,3,0.58,9.4
High,1,3,0.69,8.6
Low,0.994,3,0.42,10.9
Low,0.997,3,0.48,9.4
Low,0.994,3,0.42,10.9
Low,0.999,3,0.58,9.4
Low,0.994,3,0.46,9.2
High,1,3,0.69,8.6
Low,0.997,3,0.35,9.4
Low,0.994,3,0.37,10.8
Low,0.993,3,0.62,10.5
Low,0.991,3,0.78,12.5
High,0.991,3,0.48,12.1
Low,0.998,3,0.43,8.7
High,0.993,3,0.25,12.7
High,0.991,3,0.48,12.1
Low,0.991,3,0.78,12.5
High,0.991,3,0.44,11.4
High,0.991,3,0.6,12.9
High,0.99,3,0.51,12.8
Low,0.992,3,0.44,11.2
Low,0.994,3,0.42,9.7
Low,0.997,3,0.56,9.7
Low,0.993,4,0.54,10.3
Low,0.993,3,0.87,11.6
Low,0.993,3,0.86,11.6
Low,0.997,3,0.56,9.7
Low,0.994,3,0.44,10.9
High,0.993,3,0.37,12.6
Low,0.993,3,0.47,12.4
Low,0.993,3,0.4,11.5
Low,0.995,3,0.35,10.2
Low,0.994,3,0.27,11.4
Low,0.996,3,0.33,9.6
Low,0.995,3,0.3,10.3
Low,1,3,0.75,9.3
High,0.995,3,0.49,10.7
High,0.99,3,0.49,12.8
Low,0.996,3,0.62,9.5
Low,0.995,3,0.45,10.4
Low,0.995,3,0.61,10.3
Low,0.997,3,0.39,9.9
Low,0.993,3,0.5,10.7
Low,0.994,3,0.43,10.5
Low,0.995,3,0.48,9.6
Low,0.995,3,0.46,9.3
Low,0.997,3,0.46,10
Low,0.993,3,0.39,11.2
Low,0.993,3,0.62,10.8
Low,0.993,4,0.51,10.3
Low,0.996,3,0.42,8.8
Low,0.991,3,0.74,12.8
Low,0.991,3,0.43,13.2
Low,0.992,4,0.56,10.1
Low,0.992,3,0.66,11
Low,0.993,3,0.62,10.8
High,0.991,3,0.52,12.8
Low,0.996,3,0.36,9.2
Low,0.993,3,0.44,10.5
Low,0.99,3,0.38,11.7
Low,0.994,3,0.46,9.5
Low,0.994,3,0.45,9.5
Low,0.997,3,0.4,8.8
High,1,3,0.51,9.3
High,0.991,3,0.75,12.6
Low,0.992,3,0.34,12.4
Low,0.995,4,0.72,10.1
High,0.994,3,0.37,11.2
Low,0.996,3,0.52,10
Low,0.996,3,0.52,10
Low,0.996,3,0.39,10.8
Low,0.992,3,0.33,10
Low,0.993,3,0.33,10.4
Low,0.996,3,0.39,10.8
Low,0.998,4,0.47,9.8
High,0.991,3,0.4,12.2
High,0.991,3,0.48,12.7
High,0.993,3,0.35,12.2
High,0.994,3,0.34,11.9
High,0.994,3,0.37,11.2
Low,0.992,3,0.28,10.4
High,0.992,3,0.67,12.8
High,0.991,3,0.39,12.7
Low,0.995,4,0.72,10.1
Low,0.996,3,0.52,10
Low,0.996,3,0.41,9
Low,0.991,3,0.42,11.4
Low,1,3,0.59,8.9
Low,0.995,3,0.44,9.3
High,0.991,3,0.46,12
High,0.992,3,0.54,10.8
Low,0.995,4,0.37,10.5
High,0.995,4,0.43,10.6
High,0.991,3,0.48,11.3
Low,0.994,3,0.38,9.5
Low,0.991,3,0.42,11.4
High,0.993,3,0.33,10.1
Low,0.991,3,0.43,10.9
Low,0.996,3,0.45,8.9
Low,1,3,0.59,8.9
Low,0.998,3,0.49,9.3
Low,0.994,3,0.4,10.4
High,0.994,3,0.38,12
Low,0.998,3,0.68,9.5
Low,0.998,3,0.68,9.5
High,0.99,3,0.38,12.4
High,0.991,3,0.41,11.2
Low,0.993,3,0.69,11.4
Low,0.993,3,0.71,11.4
High,0.992,3,0.38,11.1
Low,0.992,3,0.42,10.4
High,0.993,3,0.35,12
High,0.992,4,0.61,12.3
Low,0.994,3,0.35,9.1
Low,0.992,3,0.33,10.5
Low,0.993,3,0.7,11.4
Low,0.996,4,0.64,9.5
High,0.991,3,0.9,13.7
Low,0.99,3,0.51,13.4
High,0.992,3,0.48,11.3
Low,0.993,3,0.34,10
Low,0.995,3,0.42,10.1
Low,0.99,3,0.42,12.2
Low,0.99,3,0.51,13.4
Low,0.995,3,0.42,9.3
High,0.991,3,0.9,13.7
High,0.99,3,0.46,12.3
High,0.992,3,0.48,11.3
High,0.999,3,0.46,8.9
High,0.999,3,0.46,8.9
Low,0.993,3,0.46,11.5
High,0.999,3,0.46,8.9
Low,0.998,3,0.52,9.3
High,0.994,3,0.5,11.1
High,0.994,3,0.64,10.9
Low,0.994,3,0.38,11.6
Low,0.994,3,0.35,10.2
High,0.994,3,0.38,10.5
Low,0.993,3,0.78,11.4
High,0.999,3,0.46,8.9
Low,0.993,3,0.41,10.6
Low,0.993,3,0.4,11.6
Low,0.993,3,0.46,11.5
High,0.993,3,0.79,12.3
Low,0.994,3,0.41,10.8
Low,0.991,3,0.38,11.3
Low,0.993,3,0.36,9.3
Low,0.993,3,0.6,10
Low,1,3,0.63,11
Low,0.992,3,0.55,10.2
High,0.992,3,0.4,10.8
Low,0.998,3,0.34,10.1
Low,0.992,3,0.37,11.6
Low,0.993,3,0.47,9.1
Low,0.998,3,0.43,10
Low,0.994,3,0.41,10.8
Low,0.991,3,0.35,11.4
Low,0.99,3,0.34,12.7
Low,0.992,3,0.55,11.3
High,0.992,3,0.68,10.4
Low,0.993,3,0.46,9.6
Low,0.992,3,0.31,10.1
Low,0.993,3,0.46,9.6
High,0.99,3,0.49,12.1
Low,0.989,3,0.33,12.2
Low,0.992,3,0.55,11.3
Low,0.998,3,0.5,9.6
Low,1.001,3,0.7,9.2
High,0.992,3,0.68,10.4
Low,0.995,3,0.34,9.5
Low,0.996,3,0.47,8.9
Low,0.998,3,0.44,8.8
Low,0.993,3,0.35,10.5
Low,0.994,3,0.34,9.4
Low,0.991,3,0.4,12.2
Low,0.996,3,0.35,11.3
Low,0.992,3,0.42,12.2
Low,0.991,3,0.42,12.2
Low,0.992,3,0.47,11.2
Low,0.992,3,0.47,11.2
Low,0.993,3,0.27,11.5
Low,0.996,3,0.35,11.3
Low,0.993,3,0.42,9.3
Low,0.996,3,0.35,11.3
High,0.996,3,0.38,11.8
Low,1.001,3,0.54,9.2
Low,0.997,3,0.81,9.2
Low,0.991,3,0.42,12.2
Low,0.992,3,0.42,12.2
Low,0.991,3,0.41,12.2
Low,0.995,3,0.42,10.6
Low,0.993,3,0.4,12.4
Low,0.995,4,0.44,10.8
Low,0.992,3,0.47,11.2
Low,0.992,3,0.46,11
High,0.993,3,0.27,12.7
Low,0.993,3,0.53,10.2
Low,0.993,3,0.27,11.5
High,0.99,3,0.39,12.3
Low,0.993,3,0.39,9.8
Low,0.993,3,0.42,9.3
High,0.996,3,0.38,11.8
Low,0.996,3,0.35,11.3
Low,0.991,3,0.28,11.4
Low,0.994,3,0.48,10.8
Low,0.994,3,0.48,9.5
Low,0.995,3,0.44,10.2
Low,0.996,3,0.36,10.7
Low,0.992,3,0.29,10.8
Low,0.993,3,0.28,11.5
Low,0.995,3,0.49,10.7
Low,0.995,3,0.44,10.2
Low,0.994,3,0.6,10.1
Low,0.995,4,0.81,10.4
Low,0.994,3,0.48,9.5
Low,0.996,3,0.5,9.1
Low,0.992,3,0.39,10.6
Low,0.993,3,0.7,9.4
Low,1,4,0.45,9.8
Low,0.997,3,0.54,9.5
Low,1,3,0.41,9.3
Low,0.992,4,0.45,10.3
Low,0.992,3,0.62,11.1
Low,0.996,3,0.48,10
High,0.994,3,0.38,12.3
High,0.993,3,0.38,12.4
High,0.994,3,0.38,12.3
Low,0.993,3,0.32,10.4
High,0.99,3,0.48,12.1
Low,0.991,3,0.42,12.5
Low,0.99,3,0.6,13
High,0.994,3,0.32,11
Low,0.994,3,0.37,10.1
Low,0.993,3,0.36,9.2
High,0.991,3,0.34,12.6
High,0.994,3,0.38,12.2
High,0.995,3,0.49,9.8
Low,0.995,3,0.52,11
Low,0.996,3,0.64,10
Low,0.999,4,0.44,9.8
Low,0.993,3,0.47,10.5
Low,0.994,3,0.48,10
Low,0.993,3,0.51,11.2
High,0.994,3,0.32,11
Low,0.994,3,0.28,11.2
High,0.994,3,0.32,11
Low,0.993,3,0.77,10.5
Low,0.995,3,0.33,10.6
Low,0.995,3,0.33,10.6
Low,0.994,3,0.34,12
Low,0.994,3,0.37,10.1
Low,0.994,3,0.37,10.1
Low,0.993,3,0.36,9.2
Low,0.993,3,0.63,11
Low,0.998,3,0.49,10
Low,1,3,0.39,8.7
Low,0.998,3,0.44,8.7
Low,0.992,3,0.54,11.1
Low,0.995,3,0.55,11
Low,0.992,3,0.54,11.1
Low,1,3,0.39,8.7
Low,0.998,3,0.44,8.7
High,0.994,3,0.3,11.2
High,0.994,3,0.3,11.1
Low,0.994,3,0.54,10.8
Low,1,3,0.67,9
Low,0.993,3,0.4,10.3
Low,0.993,3,0.32,9.9
Low,0.994,3,0.41,10
Low,0.992,3,0.42,9.8
Low,0.994,3,0.54,10.8
Low,1,3,0.67,9
Low,0.993,3,0.32,9.1
Low,0.992,3,0.57,10.6
Low,0.993,3,0.72,10.6
Low,0.993,3,0.32,9.9
Low,0.995,3,0.47,10.6
Low,0.995,3,0.45,9.9
Low,0.995,3,0.45,9.9
Low,0.99,3,0.59,12.8
Low,0.993,3,0.4,10.3
Low,0.995,3,0.48,10.6
Low,0.994,3,0.31,8.7
High,0.991,3,0.44,12.6
High,0.996,3,0.63,11
High,0.997,3,0.6,11.2
High,0.993,3,0.57,10.7
Low,0.997,3,0.58,9.6
Low,0.995,3,0.48,10.6
Low,0.996,3,0.57,9
Low,0.992,3,0.33,10.5
Low,0.991,3,0.52,12.8
Low,0.996,3,0.46,10.1
High,0.99,3,0.33,12.2
Low,0.991,3,0.52,12.8
Low,0.996,3,0.46,10.1
Low,0.994,3,0.51,10.1
Low,1,3,0.41,9.2
Low,0.995,3,0.44,9.9
Low,0.997,4,0.58,9.7
Low,0.995,3,0.46,9.9
Low,0.995,3,0.45,9.9
Low,0.997,4,0.58,9.7
Low,0.996,4,0.5,10.3
Low,0.993,3,0.35,10.3
Low,0.995,3,0.34,10.5
Low,0.995,4,0.76,10.5
Low,0.993,3,0.44,9.8
Low,0.995,3,0.58,10.6
Low,0.998,4,0.68,10.1
Low,0.999,3,0.53,9
Low,1,3,0.45,9.5
Low,0.994,3,0.32,11.5
High,0.993,3,0.33,11.9
Low,0.998,4,0.68,10.1
Low,0.996,3,0.42,9.2
Low,0.998,3,0.4,8.7
Low,0.995,3,0.46,9.8
Low,0.996,3,0.42,9.2
Low,0.998,3,0.4,8.7
Low,0.993,3,0.48,11.2
Low,0.991,3,0.82,12.3
Low,0.995,3,0.44,10.4
Low,0.992,3,0.41,10.7
Low,0.995,3,0.59,10.5
Low,0.994,3,0.4,9.4
Low,0.996,3,0.43,9.2
Low,0.991,3,0.3,11.9
Low,0.996,3,0.43,9.2
Low,0.993,3,0.39,9.9
Low,0.991,3,0.5,11.4
Low,0.994,3,0.4,9.4
Low,0.996,3,0.52,10.7
Low,0.991,3,0.36,12.7
High,0.988,3,0.5,13.5
Low,0.994,3,0.35,9.5
High,0.99,3,0.42,12.9
Low,0.991,3,0.46,12.5
High,0.994,3,0.38,9.5
Low,1.002,3,0.47,8.6
High,0.997,3,0.46,10
Low,0.991,3,0.46,12.5
Low,0.994,3,0.34,10.1
High,0.992,3,0.32,11.3
High,0.993,3,0.4,10.6
Low,0.996,3,0.34,10.8
Low,0.993,3,0.47,10.7
Low,0.996,3,0.4,9
Low,0.994,3,0.52,9.2
Low,0.998,3,0.48,8.5
High,0.993,3,0.36,11.3
High,0.992,3,0.32,11.3
Low,0.996,3,0.34,9.4
Low,0.996,3,0.37,8.7
Low,0.995,3,0.36,9.4
High,0.993,3,0.51,10.5
Low,0.995,3,0.53,9.7
Low,0.999,3,0.44,10.2
Low,0.996,3,0.34,9.4
Low,0.993,3,0.35,11.5
Low,0.995,3,0.31,9.6
Low,0.993,3,0.7,11.4
Low,0.993,3,0.35,11.5
High,0.993,3,0.58,12.2
High,0.994,3,0.38,11
Low,1,3,0.52,9.2
Low,0.993,3,0.45,10.2
Low,0.995,3,0.33,10
Low,0.993,3,0.48,9.7
Low,0.999,3,0.51,9.2
Low,0.993,3,0.39,10.5
Low,0.995,3,0.33,10
Low,0.995,3,0.52,10.1
High,1,3,0.36,9.1
High,0.997,3,0.57,10.2
High,1,3,0.36,9.1
High,0.996,3,0.59,10.5
Low,0.995,3,0.52,10.1
High,0.99,3,0.28,12.1
Low,0.994,3,0.59,10.2
Low,0.997,4,0.52,9.4
High,0.991,3,0.67,12.8
Low,0.998,3,0.58,9
Low,0.993,3,0.36,10.9
Low,1.01,3,0.38,8.8
Low,0.996,3,0.38,9
Low,0.994,3,0.59,10.2
Low,0.993,3,0.48,9.2
Low,0.997,3,0.58,11.3
Low,0.996,3,0.45,8.8
Low,0.996,3,0.4,9.3
Low,0.996,3,0.45,9.4
Low,0.995,3,0.4,10.3
High,0.991,3,0.42,10.8
Low,1.01,3,0.38,8.8
Low,1,3,0.58,9
High,0.991,3,0.51,11.5
Low,0.994,3,0.43,10.8
Low,0.993,3,0.51,11.8
High,0.992,3,0.38,10.5
Low,0.992,3,0.44,9.9
Low,0.996,3,0.56,9.8
High,0.994,3,0.42,11.4
Low,0.995,3,0.38,9.3
Low,0.995,3,0.38,9.3
Low,0.996,3,0.44,10.3
Low,0.996,3,0.47,8.9
High,0.994,3,0.42,11.4
Low,0.992,3,0.35,11.1
Low,0.994,3,0.45,10.4
Low,0.994,3,0.43,10.1
Low,1.001,3,0.55,9
Low,0.996,4,0.55,11.9
High,0.999,3,0.38,9
High,0.999,3,0.38,9
High,1,3,0.44,9.1
High,0.999,3,0.38,9
Low,0.998,3,0.72,10
High,1,3,0.44,9.1
Low,0.995,4,0.63,9.4
Low,0.992,3,0.55,11.4
Low,0.995,3,0.45,9.7
High,0.999,3,0.38,9
Low,0.993,3,0.49,11.8
Low,0.996,3,0.41,10.2
Low,0.995,3,0.42,9.2
Low,0.993,3,0.4,11
Low,0.998,3,0.31,10
Low,0.991,3,0.37,12.2
